Token_Name,txhash,timestamp,from_account,to_account,quantity
0x,0xf7f73cdf669054593bd43d83e40fe38268e00f516e10d654109ae3b4fe79c577,6/9/2017 18:31,0xfc5f57450b5df7a645d45d87dd314b853e2971d8,0xde53e8a4353a8bb97a1b0bbb996b3399e59de7f6,10000
0x,0xca8a57a2ee34ff0c708ae4b050628f4cce349fc0ff6a2d1bd68f0017bf049c2f,6/9/2017 18:28,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xe6054a228b6da740684aa4b2eeb9ea790834d48a,150
0x,0x0b98c6ceb30af7479a2df02f66b7215a9f6ef4e1729a89e5a26e8558a2c6549d,6/9/2017 18:28,0xa1008546c132cd7b6b31312a9d52379da4d6dd5c,0x74780b7d742e6d8a4a7a48609ab297f17f97c400,250
0x,0xc829ea89e19f9e4bb952172946ee4aa3f7675883450264b1aaab6f4a971e6e83,6/9/2017 18:28,0x5e575279bf9f4acf0a130c186861454247394c06,0xfbe3da1d2e8fde68f102021c4bb24f1b477cf25b,1364.280956
0x,0xd0b16d4d93d78c409f3a158205f2257ad8e32fae2a26bc9535856aa939d1a82a,6/9/2017 18:27,0xba9f7fb6d89cb55a3af7e2e03ddc970e2fbd0f76,0x2b093fa72a5bb1511f333eb343f5ca30ef3666a7,40905.09353
0x,0x74321459ccba102218f2b62e6d7464dd62c6e01088c67ddc82b1814a6d8d5278,6/9/2017 18:27,0x41242188c34aa883b981708de2ead171a5b75f75,0x5e575279bf9f4acf0a130c186861454247394c06,687.998
0x,0x5c51ff8f83c134ea1be53417b326f47d15bb1a507cdd1f66e1645af935669ec2,6/9/2017 18:26,0x4e44048638cfa7e77b35cffdb4ba6b9e0b7c6f55,0x5e575279bf9f4acf0a130c186861454247394c06,500
0x,0x1fc4725a1f120dc34c99577a11279275e05246417c200ef16b39ba6bf1bd803a,6/9/2017 18:25,0x634bd9848f106bdf0f0b4525c47788a63948772a,0x69fa655bb0aecd3bb6384529b0fde5cb384746d7,1600
0x,0xd83c85f67e202be4a947714e24452418245e819ed2238322059493a641e136ce,6/9/2017 18:25,0x4cd49ef1ec336e06506e7498642c397dcb814a9b,0xe6a50fc92f24c81297cb34ec75dc98ffed467729,20
0x,0xa1e6a2801f01f520d2f8a57e5e9fe6093e78091bf970c82a0e6686b72d722853,6/9/2017 18:24,0xba9f7fb6d89cb55a3af7e2e03ddc970e2fbd0f76,0x2b093fa72a5bb1511f333eb343f5ca30ef3666a7,5000
0x,0xda62a9bc77be7e017c8645b817def21aa6ec5a069ccad70a911c52a26d556a8d,6/9/2017 18:22,0x2fb00fe329ee939ec6dce2f2900df9f0d0b56ac3,0x5e575279bf9f4acf0a130c186861454247394c06,5000
0x,0x39e9aa536140610855b71d1e2cdd21a1cdc5f05bd70b1b9b788884f286d7b01c,6/9/2017 18:22,0x75c7550aae6cacd7bdbb4dd5505c127c58aed4e4,0x77237dc1c7fa029d89ad3b0facb32592a9888f78,10000
0x,0x0c7b6c15eb047e3c9d58a3e68bea62edd4ecd345ed597d1e39721f704a4eda23,6/9/2017 18:21,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xa1008546c132cd7b6b31312a9d52379da4d6dd5c,250
0x,0xe76d204da0a985fbfb1b6fadd86c96ab5670d635b20fae2a5af365d9ec45adf5,6/9/2017 18:20,0x5e575279bf9f4acf0a130c186861454247394c06,0x52dcc906a99c610542bef72af5bf15970a8b5a9f,1996.078582
0x,0x8a2623587bc89e024b51352d7f50861a64659464cb2642ba2136aa653d0cba10,6/9/2017 18:18,0x6a207c50dc99fbe371a73c3a092315f731338d4d,0xead6be34ce315940264519f250d8160f369fa5cd,0
0x,0x694f042625c60644ceadb85f54a2717ceebb831b541dd8ee4cf8a8798ae15053,6/9/2017 18:17,0xed159585fc50f449b1b2b8bfcb6460b19b69d5fa,0x41242188c34aa883b981708de2ead171a5b75f75,687.998
0x,0x74058f5823bb09b90199eac66ffaa62b7bbf83d3a8315db843e9a2c4d53cb043,6/9/2017 18:15,0x8293fdc6648dcd00b9194dfa0ab731b51e294f66,0x4e44048638cfa7e77b35cffdb4ba6b9e0b7c6f55,500
0x,0x56c4a428aec11e89138f0ecb09f98627875d5229da24d6c40eed35932a6a804b,6/9/2017 18:15,0x5e575279bf9f4acf0a130c186861454247394c06,0x74ab98ef534a826cf7eaaee60129452605345bdf,8011.224239
0x,0xe425fd71b2607d4f5f86776d2e7792c522fe6b88f0d0a27c15c45fc1a871a353,6/9/2017 18:14,0x6a207c50dc99fbe371a73c3a092315f731338d4d,0xead6be34ce315940264519f250d8160f369fa5cd,1300.000177
0x,0x5738ceca898e71cf205fa780da1f7fb086a61bdd2ab34bbd1866d397d33af935,6/9/2017 18:14,0x4cd49ef1ec336e06506e7498642c397dcb814a9b,0x22a0e3741ae6f828f3789db0330ffb84dcca3e31,258.7843
0x,0x5ca901610b4fe5939b7bedf1de20ca802bfc305b314535b8af0ef89cafaf87ee,6/9/2017 18:14,0xa341756bf88552f93a7796c9f6e333a375c3fde4,0xead6be34ce315940264519f250d8160f369fa5cd,0
0x,0xc32458a7f4416a4ce1ffac8f9e75c2c99c024442951929be34a09ed98c34e2bb,6/9/2017 18:14,0xd0437435d1060699bac6f6313c6f362bab956035,0x2fb00fe329ee939ec6dce2f2900df9f0d0b56ac3,5000
0x,0x56428130498426b2c4fedac945658e26fbfe6aa2f121d67e444b9e0fa41ad436,6/9/2017 18:13,0xf25aabffa5fe394983ee0c8fb1adf8004683bbe9,0xead6be34ce315940264519f250d8160f369fa5cd,0
0x,0xcf6b81343fa3ccac6c1377bbecf84d0fc934e17c9b2b4870e6f61b2a1a9125c7,6/9/2017 18:13,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xc31cf16e5dc0e1f6231c10a7208906a58a14a5cd,530
0x,0x513116efb31a6cd1bf267af25a68ec4351a3eadbaa1edbd5f429dfe88d766d24,6/9/2017 18:13,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x93b2d8d559f58eef42fdb7d07b017bb1f33ba453,249.227
0x,0x50a6d0d1dea798a4d1868674243b8f753caa188ac3a6f0a3dce5d3750fded6e5,6/9/2017 18:13,0x77e32a57b4f34e2f6f57b06e64b11f673252fdd1,0x07a55b94112865eaf89bcc96c63be06096898c31,3
0x,0x8926927fa89141524fa85f7aa046f9a9a843775d3bd4bd8477ea308a0f06f87c,6/9/2017 18:12,0x31e84592788ba6a2a0452437bbf9f9c18cf54f0f,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,6822.513
0x,0x1517c07089aecc74d15a0bc1a55194fbe496bec0fe254b67c33cd902a86a2982,6/9/2017 18:12,0xa1008546c132cd7b6b31312a9d52379da4d6dd5c,0x74780b7d742e6d8a4a7a48609ab297f17f97c400,250
0x,0x8801c02fd89895bb73b6ef52a2ed8605080193cebf0f1339dee0d69b2db3c664,6/9/2017 18:09,0x5e575279bf9f4acf0a130c186861454247394c06,0xcaa3e1cf5eb27e4db8e23057da2a94809ca18154,505
0x,0xe01ed15fec4977e46989b1c44172a187cfae534456c8a7b9beac17cf5f2ce79b,6/9/2017 18:09,0x3e983e7afe701e85aa1c72c816734847ac4fbcab,0x025c596b87f5f2314736d7b78565d51a60c6e25a,14333.333
0x,0xb2072d9d0385947c8d560d97bb3a7185f1fe3fe4d74c0ea638c716ab1ffda45d,6/9/2017 18:09,0x5e575279bf9f4acf0a130c186861454247394c06,0xf8acb4f8b690ce67d352a8d316461213d4ae8fda,260.0743728
0x,0x170a50db002036d7f3a04f835d006e8637d74d3189ea270232e328df94b52a50,6/9/2017 18:08,0xa341756bf88552f93a7796c9f6e333a375c3fde4,0xead6be34ce315940264519f250d8160f369fa5cd,2500
0x,0x42f6528f8f31a04035ba225333aa3b0611e360570af9707013eba2f0e82f829b,6/9/2017 18:08,0xf25aabffa5fe394983ee0c8fb1adf8004683bbe9,0xead6be34ce315940264519f250d8160f369fa5cd,6353.152112
0x,0xf5a04a0f023dbcf581a9a442b1cd97e45d28a3b7945e0c98e3bb515e520fc9fd,6/9/2017 18:07,0x4cd49ef1ec336e06506e7498642c397dcb814a9b,0xea5fc728e6727bd1f83572f3d799411652c575e9,5000
0x,0xd83391c688da433bf3ae1133712d41ecddfa4b62bbde96b165f852d5d6f74d3c,6/9/2017 18:05,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xa1008546c132cd7b6b31312a9d52379da4d6dd5c,250
0x,0xc57c4b4263da94476d68bb9f4f38d0850c44daa6a8e0750fe2f04c86544aab13,6/9/2017 18:05,0x4cd49ef1ec336e06506e7498642c397dcb814a9b,0xe43c511170dfc0f4e38916aa58101b34207559dd,15690.31586
0x,0xd5c5491729e4c8d93ef913a93e75f872c793c48e1b3945e7e19b2c9a6f7d5d7c,6/9/2017 18:05,0x9c0d194fa3058957c0bf82112e60b80b5a819c26,0x8d23c5bb093e010476e6f7a67ea52229d5040150,4666.43125
0x,0xca140a41891a5390c9e62d30b76569984f22d26215a21a378d8ba2004267247f,6/9/2017 18:05,0xf33ed086a8850651e94701376f8f10ea39c7e0e9,0x768336e8b6f30e60cace3e22ef48f01d6ada8afe,23035.75388
0x,0x4c856f906cead0dd14ae8081f0316164b56c23d4521345ed1d70032e07319746,6/9/2017 18:04,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x5f08e968d03ed9845409ff05e5e6893589800aa7,2500
0x,0x8c28f5a32e4fa4a32fc15572cb2982eacff74c0c714b1133a4ecb4be59cfc1db,6/9/2017 18:04,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x367100ea47c1fa933fd466205a777fa81469ffde,1355.873725
0x,0xbd48c0a3dbeb28cc7f890ca6d802d7841a00e47133a8c291599a15c027f4a565,6/9/2017 18:04,0x2adab23a049ad05f5f8a9c50931394dcdf194f3a,0x94d4a0de64654e534930dba01e26fa4e6cc72bc9,9987.65367
0x,0xe0aa7eb45236b2ce8eb92db69bbf6f9b285ebbfe070380a518e0f85dc0fd1565,6/9/2017 18:04,0x463aab72f4170083885fef925cecccbbec09083d,0x6a207c50dc99fbe371a73c3a092315f731338d4d,1300.000177
0x,0xe58fe9517412dd1aaefd93e4e5ee932d49071cb58f95fa8ebaba331a20985f81,6/9/2017 18:04,0xd3d6ae5fb0ea32be2c940166318e498afdda949e,0x00c7396b4292d9926d5fae11056a0a56049b0d3a,5
0x,0x12f65ce21c013b7e345a884ab4f22cdc7b3d952f6a4e62e459bb83d721605454,6/9/2017 18:03,0xead6be34ce315940264519f250d8160f369fa5cd,0x303b93ad386b8eb2058aafc87717fe60a7b5d521,22500
0x,0x7d1653865d10604e4364e9a8039a0bf3aec02f0694fb07bc841391b22b3f1b71,6/9/2017 18:03,0xead6be34ce315940264519f250d8160f369fa5cd,0xee2e0e56e11fae260f3de0d6767fc1e970fc69d3,999.995
0x,0xc07f43004d27498d033238fd0443753828c0f0fe287131532b0bafc91e1296d1,6/9/2017 18:03,0xed8f5fe6af79c4eab376f691239afd8e8a997a59,0xead6be34ce315940264519f250d8160f369fa5cd,0
0x,0x460f4947625e0bec74cecfc3f2fb04e5dd6a2b990fe11192c6446b06f4e4248f,6/9/2017 18:00,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xb010521f0d395e33bbc552fbf39745ba4c9ab363,650.8
0x,0x3429c89c116a69393247d2908a5b1e6300da74ecd87b8d66c8741d06fb234f1f,6/9/2017 18:00,0xb80316c4d644845cbdc7834186addb047fcad5de,0xa341756bf88552f93a7796c9f6e333a375c3fde4,2500
0x,0xb4e687abd0d123d69bd4250e8778df3ef7b5ff9abdbeb7342f128f5f181242ea,6/9/2017 18:00,0xb3d9376075d0c2079bc19e5124cb273916ed11ab,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,175.7535
0x,0x920bf2b9d508a62fb0c3039cac908bdb435d5ccf6fc5e44ddac4717f1248ecd1,6/9/2017 17:58,0xf33ed086a8850651e94701376f8f10ea39c7e0e9,0xf25aabffa5fe394983ee0c8fb1adf8004683bbe9,6353.152112